OTU	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D078	SA_D062	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D058	SA_D067	SA_D098	SA_D097	SA_D066	SA_D072	SA_D065	SA_D064	SA_D090	SA_D089	SA_D091	SA_D073	SA_D079	SA_D074	SA_D084	SA_D077	SA_D096	SA_D069	SA_D083	SA_D056	SA_D054	SA_D095	SA_D081	SA_D086	SA_D100	SA_D088	SA_D092	SA_D093	SA_D055	SA_D099	SA_D082	SA_D094	SA_D087
ASV_181	0	17365	0	0	0	404455	261937	0	6796	0	0	0	0	0	0	36984	0	0	0	0	0	0	0	0	0	0	107216	1234	58144	0	0	0	0	0	0	168782	0	6090	0	0	0	0	4381	0	0	5555	0	0
ASV_74	0	236968	9349	0	0	0	0	124623	163110	0	17938	0	22423	227211	7802	0	0	185369	208345	0	2471	5171	0	236413	400772	21706	54797	8641	29273	0	191186	1150	0	0	0	0	0	0	83334	0	0	13947	0	0	0	0	0	0
ASV_143	0	488	2090	0	6579	0	0	9322	64647	0	0	1226	26390	0	0	0	0	14074	36429	143593	52836	3566	1345	390195	43547	18203	11095	1080	10616	3014	10468	719	981	1581	0	5314	5824	919	3815	28044	906	100535	6943	0	0	500	37848	0
ASV_308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2466	0	0	0	87580	0	369991	0	6938	11145	0	4189	0	2252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	0	0	0	30154	0	0	0	0	0	63401	15936	351179	0	55008	0	0	0	0	0	97377	0	0	0	0	0	0	0	0	56397	0	28669	0	69279	0	0	30238	0	0	20818	31159	0	0	0	8295	0	0	17188
ASV_46	39315	976	47954	1319	30154	0	67789	1720	0	5792	3093	133209	341519	36522	793	249699	48074	0	2192	962	73371	892	5188	4163	2298	21021	4189	63729	3780	21095	3070	12502	34261	35875	1708	0	9408	75669	10563	109938	119312	19904	37528	1147	65731	91324	57229	95296
ASV_10	10729	43072	89089	15452	58664	74792	56672	195351	169989	43936	26598	28297	18801	4039	14083	114427	28668	1106	1514	320292	5354	204788	75566	338787	339645	45964	14831	80279	10616	17794	221136	3341	5983	19123	77117	330794	5656	207327	1541	13506	48042	22351	221943	58048	25666	117720	143845	37533
ASV_17	71732	113460	86450	76317	20286	57364	169201	51768	176205	80525	333398	80906	302538	297446	245287	118349	138819	60315	185590	122035	111262	175634	120579	136751	39181	68165	171636	62726	138163	175936	70052	150532	102196	183723	113466	187254	181207	86068	105855	194069	168374	57402	40586	213418	111194	103484	80472	162680
ASV_63	3142	3610	0	333159	264261	0	47181	0	0	0	6185	126467	3622	6321	4760	21742	2757	3016	3131	0	0	0	121444	0	0	4951	1019	1697	0	6601	0	1150	7846	11958	0	0	0	1034	0	96863	152624	2817	11076	0	58610	951	8497	119785
ASV_280	2146	0	63132	0	0	0	3796	0	3813	326762	9278	0	2242	0	0	3586	6064	0	0	31760	6590	1783	0	0	0	2970	0	15585	4101	2296	0	0	5362	1087	113466	0	0	919	880	2065	0	13023	827	2437	0	1601	1755	0
ASV_178	0	3902	0	565	0	315141	0	0	3149	12714	29381	0	2070	47409	26314	672	195383	25131	26408	1540	294	1070	288	0	1034	381	70194	463	22679	12628	394	5173	196	30637	14926	165998	2912	4654	14745	0	0	785	0	7883	0	4654	492	532
ASV_22	15787	32389	15178	49182	311960	0	52604	9955	101944	24016	99896	179587	289084	30201	95999	28242	34181	81023	67326	10587	88610	0	69657	25735	23555	50571	61816	19674	37396	85385	32350	47638	105334	84598	22574	15309	68652	22408	20393	89292	105149	36621	41661	36406	55793	24520	33214	77575
ASV_154	1303	0	1540	14321	26865	0	0	1539	0	2260	0	17162	0	14047	1455	4035	0	9650	4175	0	471	0	7110	6434	4481	4037	0	926	0	4018	0	186817	785	6029	2376	0	306416	4137	2494	1720	0	1940	1653	0	1487	2302	1475	608
ASV_26	17397	131020	135394	141517	0	25415	7050	30499	116862	16246	244636	0	69166	45653	292493	15466	34512	33978	64299	50623	17887	36732	135087	57526	60208	168622	158163	151762	86774	13202	49823	44549	68654	35084	33787	129433	58461	52916	22301	15312	111267	21243	33973	21643	65652	51792	33073	127163
ASV_33	19772	29658	10669	196730	41668	0	65620	6516	49729	8335	283914	38206	185938	118346	286807	41915	86555	31967	44466	16939	40951	44577	137969	21699	21601	12034	45173	17900	25735	29992	18733	22634	87223	62658	16485	0	22847	10974	15772	188220	107641	12145	15292	29383	52819	16413	15589	90504
